longitude,latitude,Aridity_zone,tree_cover
25.10791219,-33.58360755,Dry subhumid,0
72.59285811,24.33576033,Semiarid,0.25
28.48557766,-21.76815645,Semiarid,0.15
24.1736643,-18.36578731,Dry subhumid,0
9.585024082,11.244139,Dry subhumid,0
-9.153832745,14.765872,Semiarid,0
18.44241278,-25.92349346,Arid,0
44.49355602,-19.88007738,Dry subhumid,0.15
60.98662464,37.64879284,Arid,0
79.45598688,13.32636753,Dry subhumid,0.95
-64.31039119,-18.60860193,Dry subhumid,0.04
30.8391637,-22.84263136,Semiarid,0.02
70.22130576,40.89808905,Semiarid,0.45
42.03217214,51.693295,Dry subhumid,0
44.94271366,9.884669,Semiarid,0
40.50503616,26.604108,Hyperarid,0
12.02844165,-15.61182214,Semiarid,0
126.4558425,47.05469285,Dry subhumid,0
-0.745601686,9.823417999999998,Semiarid,0
-41.15182317,-17.80443009,Semiarid,0
-99.36265358,28.847837,Semiarid,0.55
127.4080567,-17.294544000000002,Semiarid,0.04
-37.52262942,-9.118619607000001,Semiarid,0
-3.566311678,12.319382,Semiarid,0.25
-35.69006624,-5.96202953,Semiarid,0
132.9596452,-20.553997,Semiarid,0
18.74783998,12.84643,Semiarid,0.45
-39.21146215,-8.43410336,Semiarid,0
-6.943977146,12.133329,Semiarid,0.95
36.01345974,33.312724,Semiarid,0.25
-63.68157049,9.269804427999999,Dry subhumid,0.95
80.53396522,51.256043,Semiarid,0
85.47469928,54.939075,Dry subhumid,0
